"","rnames","variable","value","rank"
"55211","5487","V9943",5179.28,9
"55212","5487","V10001",5231.43,10
"55213","5488","V824",2708.18,1
"55214","5488","V822",2960.73,2
"55215","5488","V5469",3695.81,3
"55216","5488","V5487",3858.06,4
"55217","5488","V5493",3984.95,5
"55218","5488","V4161",4279.46,6
"55219","5488","V5491",5561.15,7
"55220","5488","V9997",5643.59,8
"55221","5488","V5490",5986.84,9
"55222","5488","V9943",6537.58,10
"55223","5489","V823",2330.24,1
"55224","5489","V533",3701.13,2
"55225","5489","V5069",3880.13,3
"55226","5489","V10301",3961.12,4
"55227","5489","V827",4845.66,5
"55228","5489","V5475",5112.57,6
"55229","5489","V821",5641.76,7
"55230","5489","V5078",5962.22,8
"55231","5489","V5471",6277.8,9
"55232","5489","V5477",6279.55,10
"55233","549","V326",943.61,1
"55234","549","V4832",1149.41,2
"55235","549","V3021",1968.23,3
"55236","549","V320",2020.75,4
"55237","549","V6242",2389.53,5
"55238","549","V4827",2754.04,6
"55239","549","V4821",3130.74,7
"55240","549","V312",3267.47,8
"55241","549","V4819",3326.06,9
"55242","549","V324",3478.38,10
"55243","5490","V822",3038.49,1
"55244","5490","V7919",3136.48,2
"55245","5490","V2657",3201.1,3
"55246","5490","V5493",3487.69,4
"55247","5490","V5491",4105.35,5
"55248","5490","V5466",4713.93,6
"55249","5490","V5470",5069.59,7
"55250","5490","V5480",5495.75,8
"55251","5490","V5481",5890.93,9
"55252","5490","V5488",5986.84,10
"55253","5491","V2657",3639.39,1
"55254","5491","V4107",3702.92,2
"55255","5491","V822",4059.22,3
"55256","5491","V5490",4105.35,4
"55257","5491","V824",4357.29,5
"55258","5491","V7924",4381.85,6
"55259","5491","V9943",4680.01,7
"55260","5491","V5488",5561.15,8
"55261","5491","V5493",5972.01,9
"55262","5491","V7919",6656.52,10
"55263","5492","V2660",2104.72,1
"55264","5492","V826",2841.06,2
"55265","5492","V5472",3738.53,3
"55266","5492","V5464",4141.69,4
"55267","5492","V7931",4466.41,5
"55268","5492","V2653",5069.49,6
"55269","5492","V2654",5777.02,7
"55270","5492","V5494",5786.32,8
"55271","5492","V6928",6423.98,9
"55272","5492","V5480",6777.96,10
"55273","5493","V822",2065.43,1
"55274","5493","V5470",2974.41,2
"55275","5493","V5469",3256.64,3
"55276","5493","V5490",3487.69,4
"55277","5493","V5488",3984.95,5
"55278","5493","V5466",4446.82,6
"55279","5493","V5486",4601.48,7
"55280","5493","V7919",5835.15,8
"55281","5493","V5481",5835.92,9
"55282","5493","V5467",5841.2,10
"55283","5494","V827",2661.96,1
"55284","5494","V826",3438.53,2
"55285","5494","V6928",3703.09,3
"55286","5494","V5471",4295.25,4
"55287","5494","V5495",4447.25,5
"55288","5494","V821",5180.34,6
"55289","5494","V5472",5205.33,7
"55290","5494","V5464",5525.78,8
"55291","5494","V5492",5786.32,9
"55292","5494","V823",6217.95,10
"55293","5495","V5471",1908.96,1
"55294","5495","V5465",2785.5,2
"55295","5495","V5472",3788.69,3
"55296","5495","V5479",3805.15,4
"55297","5495","V10302",3964.2,5
"55298","5495","V5494",4447.25,6
"55299","5495","V5481",5075.99,7
"55300","5495","V5462",5486.03,8
"55301","5495","V5482",5537.68,9
"55302","5495","V827",6183.29,10
"55303","5496","V7",2565.99,1
"55304","5496","V7403",2584.92,2
"55305","5496","V1807",2856.37,3
"55306","5496","V7993",2929.27,4
"55307","5496","V7220",3223.35,5
"55308","5496","V9020",3230.89,6
"55309","5496","V2694",3643.01,7
"55310","5496","V7219",3781.48,8
"55311","5496","V5456",3848.51,9
"55312","5496","V2073",4021.03,10
"55313","5497","V9387",2999.3,1
"55314","5497","V3729",3223.28,2
"55315","5497","V9380",4255.53,3
"55316","5497","V3728",4748.01,4
"55317","5497","V9381",4930.96,5
"55318","5497","V3726",5184.32,6
"55319","5497","V9386",5353.39,7
"55320","5497","V9376",5785.93,8
"55321","5497","V9385",5876.01,9
"55322","5497","V9388",6542.24,10
"55323","5498","V5515",617.81,1
"55324","5498","V5508",625.44,2
"55325","5498","V5499",810.51,3
"55326","5498","V840",888.47,4
"55327","5498","V5503",898.89,5
"55328","5498","V5500",1061.02,6
"55329","5498","V5501",1131.26,7
"55330","5498","V842",1274.2,8
"55331","5498","V5505",1279.17,9
"55332","5498","V5510",1338.57,10
"55333","5499","V840",660.63,1
"55334","5499","V5498",810.51,2
"55335","5499","V5509",881.04,3
"55336","5499","V5515",914.67,4
"55337","5499","V5513",1054.07,5
"55338","5499","V5501",1065.86,6
"55339","5499","V5510",1259.43,7
"55340","5499","V5502",1312.96,8
"55341","5499","V5508",1435.73,9
"55342","5499","V5503",1503.49,10
"55343","55","V38",486.59,1
"55344","55","V35",1046.91,2
"55345","55","V4392",1336.38,3
"55346","55","V53",1744.73,4
"55347","55","V36",1976.52,5
"55348","55","V37",2177.58,6
"55349","55","V54",2356.5,7
"55350","55","V56",2716.4,8
"55351","55","V34",2829.62,9
"55352","55","V7339",3032.81,10
"55353","550","V5093",1663.74,1
"55354","550","V1313",2473.53,2
"55355","550","V1731",2715.06,3
"55356","550","V5092",2923.79,4
"55357","550","V3905",3188.95,5
"55358","550","V5088",4284.34,6
"55359","550","V884",4356.26,7
"55360","550","V893",4431.73,8
"55361","550","V9664",4483.51,9
"55362","550","V3909",5353.97,10
"55363","5500","V829",822.8,1
"55364","5500","V5501",848.67,2
"55365","5500","V5508",1057.37,3
"55366","5500","V5498",1061.02,4
"55367","5500","V5505",1201,5
"55368","5500","V5523",1404.2,6
"55369","5500","V5499",1535.41,7
"55370","5500","V5513",1550.64,8
"55371","5500","V5515",1675.13,9
"55372","5500","V5503",1758.38,10
"55373","5501","V5513",703,1
"55374","5501","V5500",848.67,2
"55375","5501","V829",932.5,3
"55376","5501","V5499",1065.86,4
"55377","5501","V5498",1131.26,5
"55378","5501","V5517",1232.84,6
"55379","5501","V5508",1527.58,7
"55380","5501","V5509",1555.79,8
"55381","5501","V840",1656.25,9
"55382","5501","V5515",1664.35,10
"55383","5502","V5510",1009.37,1
"55384","5502","V840",1020.84,2
"55385","5502","V5509",1131.87,3
"55386","5502","V5499",1312.96,4
"55387","5502","V830",1336.2,5
"55388","5502","V5515",1491.45,6
"55389","5502","V5506",1728.43,7
"55390","5502","V5498",1884.59,8
"55391","5502","V5503",2052.51,9
"55392","5502","V5513",2104.62,10
"55393","5503","V842",467.49,1
"55394","5503","V5515",632.92,2
"55395","5503","V5508",743.14,3
"55396","5503","V5498",898.89,4
"55397","5503","V840",1120.17,5
"55398","5503","V5510",1127.86,6
"55399","5503","V5506",1134.65,7
"55400","5503","V5505",1235.43,8
"55401","5503","V5511",1377.39,9
"55402","5503","V5499",1503.49,10
"55403","5504","V5653",571.02,1
"55404","5504","V5523",1132.77,2
"55405","5504","V10513",1631.86,3
"55406","5504","V5654",1838.44,4
"55407","5504","V829",1897.8,5
"55408","5504","V9862",1935.44,6
"55409","5504","V5500",2102.51,7
"55410","5504","V5518",2238.6,8
"55411","5504","V5505",2377.12,9
"55412","5504","V9213",2595.84,10
"55413","5505","V5511",599.15,1
"55414","5505","V5508",678.25,2
"55415","5505","V842",1109.49,3
"55416","5505","V5500",1201,4
"55417","5505","V5503",1235.43,5
"55418","5505","V5498",1279.17,6
"55419","5505","V5515",1609.21,7
"55420","5505","V5501",1931.16,8
"55421","5505","V829",1965.71,9
"55422","5505","V840",2065.58,10
"55423","5506","V5510",812.01,1
"55424","5506","V5514",1118.06,2
"55425","5506","V5503",1134.65,3
"55426","5506","V5515",1204.59,4
"55427","5506","V842",1305.97,5
"55428","5506","V840",1343.04,6
"55429","5506","V5524",1550.5,7
"55430","5506","V5502",1728.43,8
"55431","5506","V5498",1798.01,9
"55432","5506","V5508",1866.93,10
"55433","5507","V3538",922.63,1
"55434","5507","V831",1634.77,2
"55435","5507","V5654",1815.62,3
"55436","5507","V4",2123.11,4
"55437","5507","V5521",2139.43,5
"55438","5507","V10513",2441.44,6
"55439","5507","V5519",2623.13,7
"55440","5507","V5518",2696.99,8
"55441","5507","V5653",3019.99,9
"55442","5507","V5522",3135.81,10
"55443","5508","V5498",625.44,1
"55444","5508","V5505",678.25,2
"55445","5508","V5503",743.14,3
"55446","5508","V842",890.06,4
"55447","5508","V5515",949.63,5
"55448","5508","V5500",1057.37,6
"55449","5508","V5511",1115.87,7
"55450","5508","V840",1389.7,8
"55451","5508","V5499",1435.73,9
"55452","5508","V5501",1527.58,10
"55453","5509","V5499",881.04,1
"55454","5509","V5513",1077.35,2
"55455","5509","V5502",1131.87,3
"55456","5509","V840",1254.5,4
"55457","5509","V5501",1555.79,5
"55458","5509","V830",1612.9,6
"55459","5509","V5515",1688.32,7
"55460","5509","V5498",1691.39,8
"55461","5509","V5510",1706.61,9
"55462","5509","V5517",1843.81,10
"55463","551","V5094",1777.23,1
"55464","551","V5086",1794.63,2
"55465","551","V548",1868.66,3
"55466","551","V10289",2930.85,4
"55467","551","V558",3706.67,5
"55468","551","V553",4654.69,6
"55469","551","V5091",4725.03,7
"55470","551","V1491",5060.9,8
"55471","551","V5672",5198.3,9
"55472","551","V6408",5311.53,10
"55473","5510","V840",601.72,1
"55474","5510","V5515",744.56,2
"55475","5510","V5506",812.01,3
"55476","5510","V5502",1009.37,4
"55477","5510","V5503",1127.86,5
"55478","5510","V5499",1259.43,6
"55479","5510","V5498",1338.57,7
"55480","5510","V842",1527.01,8
"55481","5510","V5508",1671.42,9
"55482","5510","V5509",1706.61,10
"55483","5511","V5505",599.15,1
"55484","5511","V842",1047.94,2
"55485","5511","V5508",1115.87,3
"55486","5511","V5503",1377.39,4
"55487","5511","V5498",1739.83,5
"55488","5511","V5500",1799.66,6
"55489","5511","V5515",1910.5,7
"55490","5511","V5506",2351.78,8
"55491","5511","V840",2403.3,9
"55492","5511","V5510",2505.2,10
"55493","5512","V6798",1606.79,1
"55494","5512","V6786",2046.23,2
"55495","5512","V3889",2352.82,3
"55496","5512","V1787",3070.55,4
"55497","5512","V1784",3108.66,5
"55498","5512","V6797",3162.12,6
"55499","5512","V4362",3188.89,7
"55500","5512","V6796",3351.62,8
"55501","5512","V7606",4099.41,9
"55502","5512","V2455",4575.85,10
"55503","5513","V5501",703,1
"55504","5513","V5517",890.39,2
"55505","5513","V5499",1054.07,3
"55506","5513","V5509",1077.35,4
"55507","5513","V829",1481.93,5
"55508","5513","V5498",1546.86,6
"55509","5513","V5500",1550.64,7
"55510","5513","V840",1713.18,8
"55511","5513","V5515",1914.09,9
"55512","5513","V5508",2079.07,10
"55513","5514","V5524",754.5,1
"55514","5514","V5506",1118.06,2
"55515","5514","V5510",1771.26,3
"55516","5514","V5503",2214.73,4
"55517","5514","V842",2266.6,5
"55518","5514","V5515",2313.58,6
"55519","5514","V840",2367.31,7
"55520","5514","V5502",2384.16,8
"55521","5514","V6463",2606.08,9
"55522","5514","V5498",2914.83,10
"55523","5515","V840",499.18,1
"55524","5515","V5498",617.81,2
"55525","5515","V5503",632.92,3
"55526","5515","V5510",744.56,4
"55527","5515","V5499",914.67,5
"55528","5515","V5508",949.63,6
"55529","5515","V842",1100.34,7
"55530","5515","V5506",1204.59,8
"55531","5515","V5502",1491.45,9
"55532","5515","V5505",1609.21,10
"55533","5516","V839",1179.76,1
"55534","5516","V5517",1280.27,2
"55535","5516","V9213",1789.04,3
"55536","5516","V829",1930.66,4
"55537","5516","V9862",2062.46,5
"55538","5516","V5523",2131.88,6
"55539","5516","V5513",2145.36,7
"55540","5516","V838",2226.13,8
"55541","5516","V9214",2239.54,9
"55542","5516","V5501",2260.03,10
"55543","5517","V5513",890.39,1
"55544","5517","V5501",1232.84,2
"55545","5517","V5516",1280.27,3
"55546","5517","V829",1468.75,4
"55547","5517","V5509",1843.81,5
"55548","5517","V5499",1940.06,6
"55549","5517","V5500",1954.23,7
"55550","5517","V5523",2148.47,8
"55551","5517","V5498",2321.14,9
"55552","5517","V839",2383.6,10
"55553","5518","V5654",1342.8,1
"55554","5518","V831",1393.93,2
"55555","5518","V3538",1775.65,3
"55556","5518","V5653",1801.01,4
"55557","5518","V5504",2238.6,5
"55558","5518","V5519",2599.41,6
"55559","5518","V10513",2647.72,7
"55560","5518","V5507",2696.99,8
"55561","5518","V836",3254.68,9
"55562","5518","V5521",3361.75,10
"55563","5519","V836",1046.95,1
"55564","5519","V831",1553.79,2
"55565","5519","V2458",2193.3,3
"55566","5519","V3538",2242.04,4
"55567","5519","V5518",2599.41,5
"55568","5519","V5507",2623.13,6
"55569","5519","V4",2669.59,7
"55570","5519","V5654",3055.75,8
"55571","5519","V462",3390.78,9
"55572","5519","V4977",3618.04,10
"55573","552","V5672",1437.77,1
"55574","552","V10308",1594.66,2
"55575","552","V5091",2410.69,3
"55576","552","V5671",2458.59,4
"55577","552","V6",2588.08,5
"55578","552","V5574",2963.02,6
"55579","552","V884",3629.32,7
"55580","552","V4370",3725.33,8
"55581","552","V5088",4577.07,9
"55582","552","V885",4741.61,10
"55583","5520","V6800",1063.16,1
"55584","5520","V7606",1999.41,2
"55585","5520","V1784",2453.98,3
"55586","5520","V3614",2890.76,4
"55587","5520","V838",3089.79,5
"55588","5520","V6798",3159.82,6
"55589","5520","V6787",3409.88,7
"55590","5520","V9214",4177.71,8
"55591","5520","V839",4209.1,9
"55592","5520","V9213",4444.76,10
"55593","5521","V10513",1052.08,1
"55594","5521","V9214",1485.96,2
"55595","5521","V9862",1537.56,3
"55596","5521","V9213",1759.09,4
"55597","5521","V5654",2020.94,5
"55598","5521","V5507",2139.43,6
"55599","5521","V3538",2325.87,7
"55600","5521","V5653",2362.88,8
"55601","5521","V839",2449.49,9
"55602","5521","V5522",2485.85,10
"55603","5522","V6787",1626.25,1
"55604","5522","V3614",1631.52,2
"55605","5522","V5521",2485.85,3
"55606","5522","V9214",3033.07,4
"55607","5522","V5507",3135.81,5
"55608","5522","V7606",3344.24,6
"55609","5522","V6800",3415.62,7
"55610","5522","V10513",3537.69,8
"55611","5522","V9213",3547.58,9
"55612","5522","V9862",3734.32,10
"55613","5523","V829",860.11,1
"55614","5523","V5504",1132.77,2
"55615","5523","V5500",1404.2,3
"55616","5523","V5653",1625.04,4
"55617","5523","V9862",1644.1,5
"55618","5523","V5501",1786.47,6
"55619","5523","V10513",2036.33,7
"55620","5523","V9213",2124.16,8
"55621","5523","V5516",2131.88,9
"55622","5523","V5517",2148.47,10
"55623","5524","V5514",754.5,1
"55624","5524","V5506",1550.5,2
"55625","5524","V5510",1931.81,3
"55626","5524","V6463",2120.7,4
"55627","5524","V5502",2215.38,5
"55628","5524","V840",2520.08,6
"55629","5524","V6462",2528.76,7
"55630","5524","V5515",2612.78,8
"55631","5524","V5528",2633.03,9
"55632","5524","V5503",2681.46,10
"55633","5525","V841",2209.18,1
"55634","5525","V10303",3190.85,2
"55635","5525","V6791",3392.32,3
"55636","5525","V843",3735.55,4
"55637","5525","V5536",3854.83,5
"55638","5525","V5529",3872.01,6
"55639","5525","V6790",4245.07,7
"55640","5525","V1784",4270.22,8
"55641","5525","V834",4736.96,9
"55642","5525","V835",4895.35,10
"55643","5526","V834",1444.24,1
"55644","5526","V5535",1787.59,2
"55645","5526","V5531",1873.1,3
"55646","5526","V6047",2189.91,4
"55647","5526","V5534",2210.68,5
"55648","5526","V5529",2284.57,6
"55649","5526","V10303",2498.1,7
"55650","5526","V3891",2776.66,8
"55651","5526","V837",3410.47,9
"55652","5526","V5530",3670.97,10
"55653","5527","V835",1806.43,1
"55654","5527","V843",2319.67,2
"55655","5527","V832",2593.48,3
"55656","5527","V833",3030.2,4
"55657","5527","V5533",3505.81,5
"55658","5527","V830",4004.86,6
"55659","5527","V5532",4086.89,7
"55660","5527","V841",4271.75,8
"55661","5527","V5529",4282.54,9
"55662","5527","V3471",4314.26,10
"55663","5528","V6459",1607.58,1
"55664","5528","V5532",1933.78,2
"55665","5528","V6462",1964.25,3
"55666","5528","V9510",2068.33,4
"55667","5528","V6464",2079.85,5
"55668","5528","V6463",2296.15,6
"55669","5528","V6461",2439.25,7
"55670","5528","V5533",2615.86,8
"55671","5528","V5524",2633.03,9
"55672","5528","V9542",2729.86,10
"55673","5529","V10303",1609.97,1
"55674","5529","V841",1716.29,2
"55675","5529","V5526",2284.57,3
"55676","5529","V834",2391.27,4
"55677","5529","V835",2543.24,5
"55678","5529","V6047",3091.8,6
"55679","5529","V5535",3444.69,7
"55680","5529","V5525",3872.01,8
"55681","5529","V843",4009.64,9
"55682","5529","V5531",4151.92,10
"55683","553","V10289",2465.83,1
"55684","553","V6408",3470.82,2
"55685","553","V1484",4122.21,3
"55686","553","V5094",4203.9,4
"55687","553","V548",4466.56,5
"55688","553","V3908",4570.37,6
"55689","553","V551",4654.69,7
"55690","553","V5088",5461.31,8
"55691","553","V5092",5540.94,9
"55692","553","V1491",5942.23,10
"55693","5530","V6047",1488.33,1
"55694","5530","V3891",1545.57,2
"55695","5530","V3471",2150.14,3
"55696","5530","V8343",2361.75,4
"55697","5530","V9522",3256.11,5
"55698","5530","V5534",3593.57,6
"55699","5530","V5526",3670.97,7
"55700","5530","V5537",3860.07,8
"55701","5530","V833",4254.17,9
"55702","5530","V5531",4283.77,10
"55703","5531","V5534",953.67,1
"55704","5531","V5535",1802.64,2
"55705","5531","V5526",1873.1,3
"55706","5531","V837",2505.67,4
"55707","5531","V834",2516.7,5
"55708","5531","V3891",2857.43,6
"55709","5531","V6047",3088.85,7
"55710","5531","V5020",3176.11,8
"55711","5531","V5537",3722.42,9
"55712","5531","V10303",4044.38,10
"55713","5532","V5533",1446.59,1
"55714","5532","V832",1768.06,2
"55715","5532","V5528",1933.78,3
"55716","5532","V830",2376.61,4
"55717","5532","V833",2616.96,5
"55718","5532","V9542",2936.7,6
"55719","5532","V6459",3453.28,7
"55720","5532","V5502",3466.96,8
"55721","5532","V9510",3563.69,9
"55722","5532","V9519",3770.64,10
"55723","5533","V830",1039.88,1
"55724","5533","V5532",1446.59,2
"55725","5533","V832",2114.14,3
"55726","5533","V5502",2327.02,4
"55727","5533","V5509",2612.89,5
"55728","5533","V5528",2615.86,6
"55729","5533","V833",3290.43,7
"55730","5533","V5510",3305.57,8
"55731","5533","V840",3314.87,9
"55732","5533","V5499",3360.7,10
"55733","5534","V5531",953.67,1
"55734","5534","V3891",2078.58,2
"55735","5534","V5526",2210.68,3
"55736","5534","V6047",2628.47,4
"55737","5534","V5535",2700.51,5
"55738","5534","V5537",2831.46,6
"55739","5534","V834",3235.28,7
"55740","5534","V837",3421.99,8
"55741","5534","V5530",3593.57,9
"55742","5534","V5020",3808.15,10
"55743","5535","V834",1124.03,1
"55744","5535","V837",1714.52,2
"55745","5535","V5526",1787.59,3
"55746","5535","V5531",1802.64,4
"55747","5535","V10303",2696.52,5
"55748","5535","V5534",2700.51,6
"55749","5535","V5020",3337.93,7
"55750","5535","V5536",3436.83,8
"55751","5535","V5529",3444.69,9
"55752","5535","V6047",3902.64,10
"55753","5536","V6785",2192.11,1
"55754","5536","V6791",2242.6,2
"55755","5536","V10303",2895.21,3
"55756","5536","V834",3130.74,4
"55757","5536","V5535",3436.83,5
"55758","5536","V837",3774.38,6
"55759","5536","V5525",3854.83,7
"55760","5536","V1789",3872.22,8
"55761","5536","V5026",3999.61,9
"55762","5536","V841",4084.6,10
"55763","5537","V9535",1309.64,1
"55764","5537","V513",2360.51,2
"55765","5537","V3891",2759.53,3
"55766","5537","V5534",2831.46,4
"55767","5537","V8343",3136.14,5
"55768","5537","V5022",3148.38,6
"55769","5537","V5531",3722.42,7
"55770","5537","V5530",3860.07,8
"55771","5537","V6047",3995.7,9
"55772","5537","V5014",4024.13,10
"55773","5538","V2220",1403.26,1
"55774","5538","V2216",1966.5,2
"55775","5538","V7369",2228.72,3
"55776","5538","V7366",2421.54,4
"55777","5538","V2229",2498.68,5
"55778","5538","V846",2528.05,6
"55779","5538","V7356",2536.21,7
"55780","5538","V2222",2643.04,8
"55781","5538","V2232",2677.22,9
"55782","5538","V7355",2928.56,10
"55783","5539","V6713",2090.62,1
"55784","5539","V858",2639.66,2
"55785","5539","V848",2650.63,3
"55786","5539","V1717",3542.11,4
"55787","5539","V851",4482.59,5
"55788","5539","V1709",4623.37,6
"55789","5539","V5544",5335.2,7
"55790","5539","V6715",5412.76,8
"55791","5539","V1713",6222.2,9
"55792","5539","V1914",7131.36,10
"55793","554","V5099",2233.87,1
"55794","554","V562",2363.3,2
"55795","554","V5101",3612.06,3
"55796","554","V5089",3913.38,4
"55797","554","V5087",4843.08,5
"55798","554","V561",4907.42,6
"55799","554","V2492",6050.85,7
"55800","554","V559",6133.3,8
"55801","554","V5100",6313.31,9
"55802","554","V7690",6610.64,10
"55803","5540","V5542",1665.63,1
"55804","5540","V853",1860.56,2
"55805","5540","V854",2585.77,3
"55806","5540","V5541",3162.28,4
"55807","5540","V850",3475.1,5
"55808","5540","V5543",3763.58,6
"55809","5540","V857",4000.08,7
"55810","5540","V859",4277.91,8
"55811","5540","V3699",4648.04,9
"55812","5540","V6969",5259.39,10
"55813","5541","V853",2010.18,1
"55814","5541","V6969",2683.42,2
"55815","5541","V849",2739.2,3
"55816","5541","V3699",3087.43,4
"55817","5541","V5540",3162.28,5
"55818","5541","V5542",3648.96,6
"55819","5541","V5543",4095.99,7
"55820","5541","V859",4283.87,8
"55821","5541","V6949",4289.89,9
"55822","5541","V5545",4443.32,10
"55823","5542","V5540",1665.63,1
"55824","5542","V5543",2288.2,2
"55825","5542","V850",2333,3
"55826","5542","V854",2738.75,4
"55827","5542","V853",3193.67,5
"55828","5542","V5541",3648.96,6
"55829","5542","V852",4098.17,7
"55830","5542","V5545",4186.83,8
"55831","5542","V855",4695.55,9
"55832","5542","V6707",4991.53,10
"55833","5543","V5545",2067.79,1
"55834","5543","V5542",2288.2,2
"55835","5543","V850",3444.75,3
"55836","5543","V5540",3763.58,4
"55837","5543","V855",3881.76,5
"55838","5543","V5541",4095.99,6
"55839","5543","V852",4607.24,7
"55840","5543","V853",4703.57,8
"55841","5543","V5544",4794.77,9
"55842","5543","V854",4849.35,10
"55843","5544","V5545",2941.27,1
"55844","5544","V858",3263.92,2
"55845","5544","V1919",3733.61,3
"55846","5544","V1914",3759.62,4
"55847","5544","V848",4336.61,5
"55848","5544","V5543",4794.77,6
"55849","5544","V6952",5326.64,7
"55850","5544","V5539",5335.2,8
"55851","5544","V6950",6155.62,9
"55852","5544","V6713",6488.39,10
"55853","5545","V5543",2067.79,1
"55854","5545","V5544",2941.27,2
"55855","5545","V1919",4085.43,3
"55856","5545","V5542",4186.83,4
"55857","5545","V5541",4443.32,5
"55858","5545","V849",5104.74,6
"55859","5545","V855",5147.2,7
"55860","5545","V5540",5386.26,8
"55861","5545","V850",5492,9
"55862","5545","V848",5558.35,10
"55863","5546","V847",604.73,1
"55864","5546","V852",1162.68,2
"55865","5546","V5548",1370.56,3
"55866","5546","V5553",1881.16,4
"55867","5546","V855",2176.32,5
"55868","5546","V6707",2207.89,6
"55869","5546","V850",2942.37,7
"55870","5546","V5559",3593.67,8
"55871","5546","V1718",4468.46,9
"55872","5546","V856",4482.99,10
"55873","5547","V856",1672.14,1
"55874","5547","V6706",1939.3,2
"55875","5547","V5550",2527.16,3
"55876","5547","V867",3436.03,4
"55877","5547","V6707",3510.58,5
"55878","5547","V864",3639.66,6
"55879","5547","V5555",4030.92,7
"55880","5547","V5553",4323.83,8
"55881","5547","V854",4932.05,9
"55882","5547","V847",5045.59,10
"55883","5548","V5546",1370.56,1
"55884","5548","V855",1567.88,2
"55885","5548","V847",1896.54,3
"55886","5548","V852",2365.45,4
"55887","5548","V5553",2847.8,5
"55888","5548","V5559",3335.64,6
"55889","5548","V6707",3572.83,7
"55890","5548","V1718",3577.31,8
"55891","5548","V850",3892.27,9
"55892","5548","V851",4032.18,10
"55893","5549","V866",2782.78,1
"55894","5549","V860",3448.61,2
"55895","5549","V7269",4113.04,3
"55896","5549","V3860",4600.35,4
"55897","5549","V867",4806.23,5
"55898","5549","V9618",5053.74,6
"55899","5549","V861",5120.78,7
"55900","5549","V865",5335.25,8
"55901","5549","V3861",5470.04,9
"55902","5549","V864",5513.8,10
"55903","555","V5090",2127.72,1
"55904","555","V5097",2716.4,2
"55905","555","V561",3706.32,3
"55906","555","V5087",3910.05,4
"55907","555","V563",4329.27,5
"55908","555","V559",4598.19,6
"55909","555","V556",4677.01,7
"55910","555","V1493",5116.87,8
"55911","555","V1483",5442.67,9
"55912","555","V562",5965.01,10
"55913","5550","V6706",1386.53,1
"55914","5550","V5555",1648.5,2
"55915","5550","V5547",2527.16,3
"55916","5550","V856",2832.9,4
"55917","5550","V864",2985.62,5
"55918","5550","V5552",3374.7,6
"55919","5550","V863",3388.37,7
"55920","5550","V5554",3557.77,8
"55921","5550","V854",4632.03,9
"55922","5550","V865",4695.25,10
"55923","5551","V862",1930.36,1
"55924","5551","V5558",2069.59,2
"55925","5551","V6968",2180.55,3
"55926","5551","V10304",3243.72,4
"55927","5551","V857",3506.21,5
"55928","5551","V6956",3780.8,6
"55929","5551","V5552",3950.93,7
"55930","5551","V859",4847.92,8
"55931","5551","V863",5072.77,9
"55932","5551","V6957",5489.05,10
"55933","5552","V863",1887.62,1
"55934","5552","V5555",2568.01,2
"55935","5552","V5550",3374.7,3
"55936","5552","V857",3521.26,4
"55937","5552","V5551",3950.93,5
"55938","5552","V5558",4142.25,6
"55939","5552","V5554",4525.37,7
"55940","5552","V6706",4600.28,8
"55941","5552","V862",4773.81,9
"55942","5552","V854",5341.53,10
"55943","5553","V847",1346.64,1
"55944","5553","V6707",1813.62,2
"55945","5553","V5546",1881.16,3
"55946","5553","V852",2386.61,4
"55947","5553","V5548",2847.8,5
"55948","5553","V5559",2894.67,6
"55949","5553","V856",3665.62,7
"55950","5553","V1696",3691.41,8
"55951","5553","V855",4032.77,9
"55952","5553","V850",4078.34,10
"55953","5554","V865",1826.39,1
"55954","5554","V864",1934.19,2
"55955","5554","V5555",2375.17,3
"55956","5554","V863",2887.03,4
"55957","5554","V868",3112.02,5
"55958","5554","V6706",3240.54,6
"55959","5554","V3849",3478.61,7
"55960","5554","V5550",3557.77,8
"55961","5554","V3859",3701.43,9
"55962","5554","V7269",3889.26,10
"55963","5555","V5550",1648.5,1
"55964","5555","V863",1847.73,2
"55965","5555","V6706",2322.55,3
"55966","5555","V5554",2375.17,4
"55967","5555","V5552",2568.01,5
"55968","5555","V864",2786,6
"55969","5555","V865",3959.25,7
"55970","5555","V5547",4030.92,8
"55971","5555","V856",4477.72,9
"55972","5555","V868",4900.19,10
"55973","5556","V6711",2083.3,1
"55974","5556","V201",3308.38,2
"55975","5556","V866",3653.03,3
"55976","5556","V1702",4082.21,4
"55977","5556","V1698",4114.79,5
"55978","5556","V861",4284.21,6
"55979","5556","V4596",4364.25,7
"55980","5556","V9621",4982.08,8
"55981","5556","V9608",5340.96,9
"55982","5556","V3856",5553.07,10
"55983","5557","V1704",2074.83,1
"55984","5557","V6710",2567.55,2
"55985","5557","V860",2931.15,3
"55986","5557","V1696",2968.3,4
"55987","5557","V867",4173.89,5
"55988","5557","V1695",4448.12,6
"55989","5557","V1720",4826.84,7
"55990","5557","V5559",5588.48,8
"55991","5557","V5549",6350.59,9
"55992","5557","V1716",6436.69,10
"55993","5558","V5551",2069.59,1
"55994","5558","V6956",3300.34,2
"55995","5558","V6968",3344.26,3
"55996","5558","V6957",3927.54,4
"55997","5558","V862",3998.13,5
"55998","5558","V5552",4142.25,6
"55999","5558","V863",4448.43,7
"56000","5558","V857",5203.54,8
"56001","5558","V10304",5207.44,9
"56002","5558","V9640",5246.16,10
"56003","5559","V1718",1989.92,1
"56004","5559","V5553",2894.67,2
"56005","5559","V1720",3304.54,3
"56006","5559","V5548",3335.64,4
